DEPAR,PROV,N_VIV,P24_PARENTES,P25_SEXO,P26_EDAD,P28_CN,P29_CI,P30A_PUBLIC,P30B_CAJA,P30C_PRIVAD,P30D_ATEDOM,P30E_TRADIC,P30F_AUTOME,P30G_CASERA,P31_AFILIADO,P32_PUEBLO_PER,P32_PUEBLO_COD,P331_IDIOHAB1_COD,P332_IDIOHAB2_COD,P333_IDIOHAB3_COD,P334_IDIOHAB_NO,P341_IDIOMAT_COD,P342_IDIOMAT_NO,P35_LUGNAC,P35J_DEPTOCOD,P35H1_PROVCOD,P35H_MUNCOD,P354_ANLLEGA,P353_PAISNAC_COD,P36_LUGRES,P361_ANRES,P36J_DEPTOCOD,P36H1_PROVCOD,P36H_MUNCOD,P363_PAISRES_COD,P37_LUGRES5,P37J_DEPTOCOD,P37H1_PROVCOD,P37H_MUNCOD,P373_PAISRES5_COD,P38_ASISTE,P39_TIPOEST,P40_LEE,P41A_NIVEL,P41B_CURSO,P42A_VER,P42B_OIR,P42C_CAMINA,P42D_COMUNI,P43_PAGO,P44_NEGO,P45_AGRO,P46_DEST,P47_OTRO,P48_NOCU,P49_OCU_1D,OCU_1D_19,P50_SEMP,P51_ACTEC_2D,ACT_ECO_2D_19,P52_MOV,P52_DEP_MOV_COD,P52_MUN_MOV_COD,P52_PAIS_MOV_COD,P53_ECIVIL,P54_HVTOT,P54A_HVTOT_MUJ,P54B_HVTOT_HOM,P55_HSTOT,P55A_HSTOT_MUJ,P55B_HSTOT_HOM,P56_EDADMAD,P57A_UHNACMES,P57B_UHNACAN,P58_UHSOBRE,P59_ATPARTO,EDAD_QUI,G_EDAD,G_EDAD_BOL,P31_COBERSALUD,P41A_NIVEL_ACT,P41B_CURSO_ACT,NIVEL_EDU,AESTUDIO,ASISTE,GEDADEDU,IDIOMA_MAYOR_USO,IDIOMA_MAT,P42_DISCAP,P32_PUEBLOS,HULTA,P59_PARTOCALIF,P59_MEF,DEP_NAC_COD,PROV_NAC_COD,MUN_NAC_COD,DEP_RES_COD,PROV_RES_COD,MUN_RES_COD,DEP_RES5_COD,PROV_RES5_COD,MUN_RES5_COD,DEP_LAB_COD,PROV_LAB_COD,MUN_LAB_COD,PET_19,CONDACT_19,FT_19,FFT_19,OCU_1D_13,P50_CATOCU_13,ACT_ECO_2D_13,PET_13,CONDACT_13,PEA_13,PEI_13,MUN
01,0103,01869846,3,1,20,1,1,1,2,2,2,2,2,2,1,2,,027,006,,,027,,1,,,,,,1,9999,,,,,9,,,,,9,9,9,99,9,9,9,9,9,9,9,9,9,9,9,,,,0,,,,,,9,99,99,99,99,99,99,999,88,9999,9,9,5,2,2,1,99,9,5,24,3,8,27,27,9,98,97,3,0,1,103,10302,1,103,10302,0,0,0,,,,9,9,8,8,,,,9,9,8,8,10302
01,0103,01869846,3,2,22,1,1,1,2,2,2,2,2,2,1,2,,027,006,,,027,,1,,,,,,1,9999,,,,,9,,,,,9,9,9,99,9,9,9,9,9,9,9,9,9,9,9,,,,0,,,,,,9,,,,,,,,,,,,5,2,2,1,99,9,5,24,3,8,27,27,9,98,,,,1,103,10302,1,103,10302,0,0,0,,,,9,9,8,8,,,,9,9,8,8,10302
01,0103,01869847,12,1,13,1,1,1,2,2,2,2,2,2,1,2,,006,,,,006,,1,,,,,,1,9999,,,,,9,,,,,9,9,9,99,9,9,9,9,9,9,9,9,9,9,9,,,,0,,,,,,9,99,99,99,99,99,99,999,88,9999,9,9,3,1,1,1,99,9,5,24,3,8,6,6,9,98,97,3,0,1,103,10302,1,103,10302,0,0,0,,,,9,9,8,8,,,,9,9,8,8,10302
01,0103,01869847,12,2,7,1,1,1,2,2,2,2,2,2,1,2,,006,,,,006,,1,,,,,,1,9999,,,,,9,,,,,9,9,9,99,9,9,9,9,9,9,9,9,9,9,9,,,,0,,,,,,,,,,,,,,,,,,2,1,1,1,99,9,5,24,3,8,6,6,9,98,,,,1,103,10302,1,103,10302,0,0,0,,,,9,9,8,8,,,,9,9,8,8,10302
01,0103,01869847,1,1,32,1,1,1,2,2,2,2,2,2,1,2,,027,006,,,027,,1,,,,,,1,9999,,,,,9,,,,,9,9,9,99,9,9,9,9,9,9,9,9,9,9,9,,,,0,,,,,,9,99,99,99,99,99,99,999,88,9999,9,9,7,2,2,1,99,9,5,24,3,8,27,27,9,98,97,3,0,1,103,10302,1,103,10302,0,0,0,,,,9,9,8,8,,,,9,9,8,8,10302
01,0103,01869847,12,1,6,1,1,1,2,2,2,2,2,2,1,2,,006,,,,006,,1,,,,,,1,9999,,,,,9,,,,,9,9,9,99,9,9,9,9,9,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,1,1,1,99,9,5,24,3,8,6,6,9,98,,,,1,103,10302,1,103,10302,0,0,0,,,,2,5,,,,,,2,5,,,10302
01,0103,01869848,1,1,30,1,1,1,2,2,2,2,2,2,1,9,,027,,,,027,,1,,,,,,1,9999,,,,,9,,,,,9,9,2,1,0,9,9,9,9,1,,,,,,6,6,9,1,1,9,,,,3,99,99,99,99,99,99,999,88,9999,9,9,7,2,2,1,1,0,1,0,3,8,27,27,9,99,97,3,0,1,103,10302,1,103,10302,0,0,0,11,9998,999996,1,1,1,,6,9,1,1,1,1,,10302
01,0103,01869849,1,2,45,1,1,1,2,2,2,2,2,2,1,2,,027,,,,027,,1,,,,,,1,9999,,,,,1,,,,,9,9,2,1,0,1,1,1,1,1,,,,,,6,6,9,1,1,2,,,,3,,,,,,,,,,,,10,2,2,1,1,0,1,0,3,8,27,27,2,98,,,,1,103,10302,1,103,10302,1,103,10302,1,103,10302,1,1,1,,6,9,1,1,1,1,,10302
01,0103,01869850,3,1,6,1,1,1,2,2,2,2,2,2,1,2,,027,006,,,027,,1,,,,,,1,9999,,,,,9,,,,,9,9,9,99,9,9,9,9,9,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,1,1,1,99,9,5,24,3,8,27,27,9,98,,,,1,103,10302,1,103,10302,0,0,0,,,,2,5,,,,,,2,5,,,10302
01,0103,01869851,14,2,4,1,1,1,2,2,2,2,2,2,1,2,,027,,,,027,,1,,,,,,1,9999,,,,,4,,,,,9,9,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,3,8,27,27,,98,,,,1,103,10302,1,103,10302,0,0,0,,,,2,5,,,,,,2,5,,,10302
01,0103,01869851,1,1,45,1,1,1,2,2,2,2,2,2,1,1,028,027,,,,027,,1,,,,,,1,9999,,,,,9,,,,,9,9,9,99,9,9,9,9,9,9,9,9,9,9,9,,,,0,,,,,,9,99,99,99,99,99,99,999,88,9999,9,9,10,2,2,1,99,9,5,24,3,8,27,27,9,40,97,3,0,1,103,10302,1,103,10302,0,0,0,,,,9,9,8,8,,,,9,9,8,8,10302
01,0103,01869853,7,1,15,1,1,1,2,2,2,2,2,2,1,2,,027,,,,027,,1,,,,,,1,9999,,,,,9,,,,,9,9,9,99,9,9,9,9,9,9,9,9,9,9,9,,,,0,,,,,,6,99,99,99,99,99,99,999,88,9999,9,9,4,2,2,1,99,9,5,24,3,8,27,27,9,98,97,3,0,1,103,10302,1,103,10302,0,0,0,,,,9,9,8,8,,,,9,9,8,8,10302
01,0103,01869853,1,2,33,1,1,1,2,2,2,2,2,2,1,2,,027,,,,027,,1,,,,,,1,9999,,,,,9,,,,,9,9,9,99,9,9,9,9,9,9,9,9,9,9,9,,,,0,,,,,,9,,,,,,,,,,,,7,2,2,1,99,9,5,24,3,8,27,27,9,98,,,,1,103,10302,1,103,10302,0,0,0,,,,9,9,8,8,,,,9,9,8,8,10302
01,0103,01869853,7,1,30,1,1,1,2,2,2,2,2,2,1,2,,027,,,,027,,1,,,,,,1,9999,,,,,9,,,,,9,9,9,99,9,9,9,9,9,9,9,9,9,9,9,,,,0,,,,,,9,99,99,99,99,99,99,999,88,9999,9,9,7,2,2,1,99,9,5,24,3,8,27,27,9,98,97,3,0,1,103,10302,1,103,10302,0,0,0,,,,9,9,8,8,,,,9,9,8,8,10302
01,0103,01869853,7,2,13,1,1,1,2,2,2,2,2,2,1,2,,027,,,,027,,1,,,,,,1,9999,,,,,9,,,,,9,9,9,99,9,9,9,9,9,9,9,9,9,9,9,,,,0,,,,,,6,,,,,,,,,,,,3,1,1,1,99,9,5,24,3,8,27,27,9,98,,,,1,103,10302,1,103,10302,0,0,0,,,,9,9,8,8,,,,9,9,8,8,10302
01,0103,01869853,7,2,17,1,1,1,2,2,2,2,2,2,1,2,,027,,,,027,,1,,,,,,1,9999,,,,,9,,,,,9,9,9,99,9,9,9,9,9,9,9,9,9,9,9,,,,0,,,,,,6,,,,,,,,,,,,4,2,2,1,99,9,5,24,3,8,27,27,9,98,,,,1,103,10302,1,103,10302,0,0,0,,,,9,9,8,8,,,,9,9,8,8,10302
01,0103,01869854,7,2,17,1,1,1,2,2,2,2,2,2,1,2,,006,,,,006,,1,,,,,,1,9999,,,,,1,,,,,5,1,1,8,3,1,1,1,1,2,2,2,,3,4,,,,0,,,,,,6,,,,,,,,,,,,4,2,2,1,8,3,5,24,1,4,6,6,2,98,,,,1,103,10302,1,103,10302,1,103,10302,,,,1,4,,1,,,,1,4,,1,10302
01,0103,01869854,1,2,38,1,1,2,1,2,2,2,2,1,2,1,028,006,027,,,006,,2,1,6,2,,,1,2018,,,,,2,1,1,1,,8,,1,11,5,1,1,1,1,1,,,,,,2,2,2,16,16,1,,,,1,,,,,,,,,,,,8,2,2,1,11,5,4,17,2,6,6,6,2,40,,,,1,106,10602,1,103,10302,1,101,10101,1,103,10302,1,1,1,,2,2,16,1,1,1,,10302
01,0103,01869854,3,2,5,1,1,1,2,2,2,2,2,2,2,2,,006,,,,006,,1,,,,,,1,9999,,,,,1,,,,,5,1,1,3,2,1,1,1,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,1,1,1,3,2,5,24,1,2,6,6,2,98,,,,1,103,10302,1,103,10302,1,103,10302,,,,2,5,,,,,,2,5,,,10302
01,0103,01869854,2,1,35,1,1,1,2,2,2,2,2,2,2,2,,006,,,,006,,1,,,,,,1,9999,,,,,1,,,,,8,,1,11,5,1,1,1,1,1,,,,,,2,2,2,16,16,2,,,,1,02,00,02,02,00,02,026,1,2019,1,1,8,2,2,1,11,5,4,17,2,6,6,6,2,98,2,3,0,1,103,10302,1,103,10302,1,103,10302,1,103,10302,1,1,1,,2,2,16,1,1,1,,10302
01,0103,01869854,3,2,8,1,1,1,2,2,2,2,2,2,2,2,,006,,,,006,,1,,,,,,1,9999,,,,,1,,,,,5,1,1,4,2,1,1,1,1,2,2,1,2,3,4,,,,0,,,,,,,,,,,,,,,,,,2,1,1,1,7,2,5,24,1,3,6,6,2,98,,,,1,103,10302,1,103,10302,1,103,10302,,,,1,4,,1,6,4,1,1,1,1,,10302
01,0103,01869854,7,1,15,1,1,1,2,2,2,2,2,2,1,2,,006,,,,006,,1,,,,,,1,9999,,,,,1,,,,,5,1,1,8,3,1,1,1,1,2,2,2,,3,4,,,,0,,,,,,6,99,99,99,99,99,99,999,88,9999,9,9,4,2,2,1,8,3,5,24,1,4,6,6,2,98,97,3,0,1,103,10302,1,103,10302,1,103,10302,,,,1,4,,1,,,,1,4,,1,10302
01,0103,01869855,1,1,34,1,1,2,1,2,2,2,2,2,3,2,,006,027,,,006,,2,99,99,99,,,2,,99,99,99,,2,99,99,99,,7,9,1,12,1,1,1,1,1,2,2,1,2,1,,2,2,1,16,16,2,,,,6,00,00,00,,,,,,,,,7,2,2,1,12,1,4,18,1,6,6,6,2,98,99,3,0,99,9999,999999,99,9999,999999,99,9999,999999,1,103,10302,1,1,1,,2,1,16,1,1,1,,10302
01,0103,01869856,1,1,55,1,1,1,2,2,2,2,2,2,1,1,028,027,006,,,027,,1,,,,,,1,9999,,,,,1,,,,,8,,1,4,4,1,1,1,1,1,,,,,,6,6,1,1,1,2,,,,5,99,99,99,99,99,99,999,88,9999,9,9,12,2,2,1,7,4,2,4,2,6,27,27,2,40,97,3,0,1,103,10302,1,103,10302,1,103,10302,1,103,10302,1,1,1,,6,1,1,1,1,1,,10302
01,0103,01869857,3,2,19,1,1,1,2,2,1,1,2,1,1,1,028,027,006,,,027,,1,,,,,,1,2004,,,,,1,,,,,7,1,1,10,2,1,1,1,1,2,2,2,,1,,7,7,9,99,99,9,,,,6,,,,,,,,,,,,4,2,2,1,10,2,4,14,1,5,27,27,2,40,,,,1,103,10302,1,103,10302,1,103,10302,11,9998,999996,1,1,1,,7,9,99,1,1,1,,10302
