DEPAR,PROV,N_VIV,P24_PARENTES,P25_SEXO,P26_EDAD,P28_CN,P29_CI,P30A_PUBLIC,P30B_CAJA,P30C_PRIVAD,P30D_ATEDOM,P30E_TRADIC,P30F_AUTOME,P30G_CASERA,P31_AFILIADO,P32_PUEBLO_PER,P32_PUEBLO_COD,P331_IDIOHAB1_COD,P332_IDIOHAB2_COD,P333_IDIOHAB3_COD,P334_IDIOHAB_NO,P341_IDIOMAT_COD,P342_IDIOMAT_NO,P35_LUGNAC,P35J_DEPTOCOD,P35H1_PROVCOD,P35H_MUNCOD,P354_ANLLEGA,P353_PAISNAC_COD,P36_LUGRES,P361_ANRES,P36J_DEPTOCOD,P36H1_PROVCOD,P36H_MUNCOD,P363_PAISRES_COD,P37_LUGRES5,P37J_DEPTOCOD,P37H1_PROVCOD,P37H_MUNCOD,P373_PAISRES5_COD,P38_ASISTE,P39_TIPOEST,P40_LEE,P41A_NIVEL,P41B_CURSO,P42A_VER,P42B_OIR,P42C_CAMINA,P42D_COMUNI,P43_PAGO,P44_NEGO,P45_AGRO,P46_DEST,P47_OTRO,P48_NOCU,P49_OCU_1D,OCU_1D_19,P50_SEMP,P51_ACTEC_2D,ACT_ECO_2D_19,P52_MOV,P52_DEP_MOV_COD,P52_MUN_MOV_COD,P52_PAIS_MOV_COD,P53_ECIVIL,P54_HVTOT,P54A_HVTOT_MUJ,P54B_HVTOT_HOM,P55_HSTOT,P55A_HSTOT_MUJ,P55B_HSTOT_HOM,P56_EDADMAD,P57A_UHNACMES,P57B_UHNACAN,P58_UHSOBRE,P59_ATPARTO,EDAD_QUI,G_EDAD,G_EDAD_BOL,P31_COBERSALUD,P41A_NIVEL_ACT,P41B_CURSO_ACT,NIVEL_EDU,AESTUDIO,ASISTE,GEDADEDU,IDIOMA_MAYOR_USO,IDIOMA_MAT,P42_DISCAP,P32_PUEBLOS,HULTA,P59_PARTOCALIF,P59_MEF,DEP_NAC_COD,PROV_NAC_COD,MUN_NAC_COD,DEP_RES_COD,PROV_RES_COD,MUN_RES_COD,DEP_RES5_COD,PROV_RES5_COD,MUN_RES5_COD,DEP_LAB_COD,PROV_LAB_COD,MUN_LAB_COD,PET_19,CONDACT_19,FT_19,FFT_19,OCU_1D_13,P50_CATOCU_13,ACT_ECO_2D_13,PET_13,CONDACT_13,PEA_13,PEI_13,MUN
01,0109,00003776,2,2,19,1,1,1,2,2,2,2,2,1,1,1,028,027,006,,,027,,1,,,,,,1,2004,,,,,1,,,,,8,,1,7,6,1,1,1,1,2,1,,,,,6,6,1,1,1,2,,,,1,,,,,,,,,,,,4,2,2,1,7,6,2,6,2,5,27,27,2,40,,,,1,109,10902,1,109,10902,1,109,10902,1,109,10902,1,1,1,,6,1,1,1,1,1,,10902
01,0109,00003776,12,1,19,1,1,9,9,9,9,9,9,9,9,1,028,027,006,,,027,,1,,,,,,1,2006,,,,,2,99,99,99,,9,9,1,1,0,1,1,1,1,2,1,,,,,6,6,1,1,1,2,,,,1,01,01,00,01,01,00,016,2,2023,1,4,4,2,2,3,1,0,1,0,3,8,27,27,2,40,2,2,4,1,109,10902,1,109,10902,99,9999,999999,1,109,10902,1,1,1,,6,1,1,1,1,1,,10902
01,0109,00003776,1,1,67,1,1,2,2,2,2,2,2,2,1,1,028,027,006,,,027,,1,,,,,,1,9999,,,,,1,,,,,1,1,1,2,0,9,9,9,9,2,2,2,,3,6,,,,0,,,,,,1,01,00,01,98,00,99,999,88,9999,2,9,14,3,3,1,2,0,1,0,1,7,27,27,9,40,97,3,0,1,109,10902,1,109,10902,1,109,10902,,,,1,4,,2,,,,1,4,,2,10902
01,0109,00003776,6,1,1,1,1,1,2,2,2,2,2,1,1,1,028,027,,,,027,,1,,,,,,1,2023,,,,,4,,,,,8,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,2,1,27,27,,40,,,,1,109,10902,1,109,10902,0,0,0,,,,2,5,,,,,,2,5,,,10902
01,0109,01866585,1,2,36,1,1,1,2,2,2,2,1,1,1,1,028,027,006,,,006,,2,1,7,3,,,1,2000,,,,,1,,,,,8,,1,5,3,1,1,1,1,2,2,2,,3,6,,,,0,,,,,,2,,,,,,,,,,,,8,2,2,1,8,2,3,8,2,6,27,6,2,40,,,,1,107,10703,1,109,10902,1,109,10902,,,,1,4,,2,,,,1,4,,2,10902
01,0109,01866585,3,2,7,1,1,1,2,2,2,2,2,2,1,2,,006,,,,006,,2,1,7,3,,,1,2017,,,,,1,,,,,5,1,1,4,2,1,1,1,1,2,2,2,,3,4,,,,0,,,,,,,,,,,,,,,,,,2,1,1,1,7,2,5,24,1,3,6,6,2,98,,,,1,107,10703,1,109,10902,1,109,10902,,,,1,4,,1,,,,1,4,,1,10902
01,0109,01866593,12,2,3,1,1,1,2,2,2,1,2,1,9,2,,006,,,,006,,1,,,,,,1,9999,,,,,4,,,,,9,9,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,1,1,3,,,,,3,8,6,6,,98,,,,1,109,10902,1,109,10902,0,0,0,,,,2,5,,,,,,2,5,,,10902
01,0109,01866593,12,2,1,1,1,1,2,2,2,2,2,2,1,9,,999,,,,999,,1,,,,,,1,2023,,,,,4,,,,,9,9,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,3,8,999,999,,99,,,,1,109,10902,1,109,10902,0,0,0,,,,2,5,,,,,,2,5,,,10902
01,0109,01866593,1,1,24,1,1,1,1,2,2,1,1,1,1,2,,006,,,,006,,1,,,,,,1,9999,,,,,1,,,,,9,9,1,8,6,1,1,1,2,2,2,2,,3,6,,,,0,,,,,,2,02,02,00,02,02,00,999,2,2013,1,4,5,2,2,1,8,6,3,12,3,8,6,6,2,98,2,3,0,1,109,10902,1,109,10902,1,109,10902,,,,1,4,,2,,,,1,4,,2,10902
01,0109,01866593,3,1,12,1,1,1,2,2,2,2,1,1,1,1,028,027,006,,,999,,1,,,,,,1,2011,,,,,1,,,,,5,1,1,7,6,1,1,1,2,2,2,1,2,1,,5,5,9,7,7,9,,,,6,99,99,99,99,99,99,999,88,9999,9,9,3,1,1,1,7,6,5,24,1,4,27,999,2,40,97,3,0,1,109,10902,1,109,10902,1,109,10902,11,9998,999996,1,1,1,,5,9,7,1,1,1,,10902
